Julian,Naranjo,41,1094893848,3022754972,Calarca,false,2024-11-12 23:20:22
Stiven,Gonzalez,45,1004799513,3044173432,Armenia,true,2024-11-12 23:20:22
carolina maria,fernandez,40,1416301554,3808628186,Sincelejo,true,2024-11-12 23:20:22
alicia maria,cabrera,56,1873176087,3299624424,Florencia,false,2024-11-12 23:20:22
camila,flores,77,1300842405,3989727318,Riohacha,true,2024-11-12 23:20:22
paula,santa,72,1423711885,3135804952,Neiva,true,2024-11-12 23:20:22
andres,dominguez,70,1698403485,3623906645,Yopal,false,2024-11-12 23:20:22
arturo enrique,vargas,73,1431189887,3122041197,Cúcuta,true,2024-11-12 23:20:22
teresita,cano,77,1331732190,3105393520,Barranquilla,true,2024-11-12 23:20:22
julian,medina,67,1469158574,3732764849,Apartadó,true,2024-11-12 23:20:22
francisco luis,martinez,55,1044555120,3380780231,Arauquita,true,2024-11-12 23:20:22
jaime,torres,43,1579455324,3719986434,Girardot,false,2024-11-12 23:20:22
mario,valenzuela,55,1631372115,3948556139,Medellín,false,2024-11-12 23:20:22
sergio,alcaraz,56,1435527734,3506939702,Leticia,false,2024-11-12 23:20:22
maría,moreno,43,1198781692,3438805669,Chía,true,2024-11-12 23:20:22
beatriz maria,flores,60,1682239809,3934966448,Pasto,false,2024-11-12 23:20:22
luis,romero,58,1649610682,3113307020,Montería,false,2024-11-12 23:20:22
paula maria,sánchez,75,1359589459,3568597791,Valledupar,false,2024-11-12 23:20:22
olga,pimentel,49,1231576580,3992493882,Cartagena,true,2024-11-12 23:20:22
miguel ángel,ramirez,73,1712636226,3399819645,Valledupar,false,2024-11-12 23:20:22
andres,salcedo,66,1210030110,3293566472,Sincelejo,true,2024-11-12 23:20:22
alejandra maria,alcaraz,68,1656756165,3635775793,Apartadó,false,2024-11-12 23:20:22
mariana,martinez,59,1470098892,3741976618,Bucaramanga,true,2024-11-12 23:20:22
francisco antonio,prado,80,1064416085,3602501372,Santa Rosa de Cabal,true,2024-11-12 23:20:22
jose antonio,rodriguez,46,1449258857,3752751801,Cartagena,true,2024-11-12 23:20:22
olga,moreno,58,1409375880,3702845602,Apartadó,true,2024-11-12 23:20:22
gabriela,bustos,58,1612425680,3164637380,Medellín,true,2024-11-12 23:20:22
teresita,lira,80,1712923136,3207907427,Cartagena,true,2024-11-12 23:20:22
sandra maria,aranda,60,1574696842,3579755780,Montería,false,2024-11-12 23:20:22
teresita,naranjo,74,1667612173,3144560386,Armenia,false,2024-11-12 23:20:22
carmen maria,gonzález,63,1639108885,3808743219,Pasto,false,2024-11-12 23:20:22
alejandra,fuentes,45,1806183099,3793401645,Pitalito,true,2024-11-12 23:20:22
adela,campbell,42,1132631621,3139752313,Cúcuta,false,2024-11-12 23:20:22
manuel antonio,sierra,63,1014286873,3851945836,Armenia,true,2024-11-12 23:20:22
sebastian,zuniga,79,1496986659,3405836557,Cúcuta,true,2024-11-12 23:20:22
